TradeId,VehicleYear,VehicleMake,VehicleModel,ValuedPrice,AllowedPrice,PhotoURL
154846,2007,Isuzu,NQR,18000.00,18000.00,http://akimage.vinsolutions.com/trade/10000/1238.jpg?interpolation=progressive-bilinear&resize=640px:*
154846,2007,Isuzu,NQR,18000.00,18000.00,http://akimage.vinsolutions.com/trade/10000/1239.jpg?interpolation=progressive-bilinear&resize=640px:*
154846,2007,Isuzu,NQR,18000.00,18000.00,http://akimage.vinsolutions.com/trade/10000/1240.jpg?interpolation=progressive-bilinear&resize=640px:*
154846,2007,Isuzu,NQR,18000.00,18000.00,http://akimage.vinsolutions.com/trade/10000/1241.jpg?interpolation=progressive-bilinear&resize=640px:*
154846,2007,Isuzu,NQR,18000.00,18000.00,http://akimage.vinsolutions.com/trade/10000/1242.jpg?interpolation=progressive-bilinear&resize=640px:*
154846,2007,Isuzu,NQR,18000.00,18000.00,http://akimage.vinsolutions.com/trade/10000/1243.jpg?interpolation=progressive-bilinear&resize=640px:*
154846,2007,Isuzu,NQR,18000.00,18000.00,http://akimage.vinsolutions.com/trade/10000/1244.jpg?interpolation=progressive-bilinear&resize=640px:*
154846,2007,Isuzu,NQR,18000.00,18000.00,http://akimage.vinsolutions.com/trade/10000/1245.jpg?interpolation=progressive-bilinear&resize=640px:*
161546,2006,Land Rover,Range Rover Sport,28000.00,28000.00,http://akimage.vinsolutions.com/trade/10000/1360.jpg?interpolation=progressive-bilinear&resize=640px:*
161546,2006,Land Rover,Range Rover Sport,28000.00,28000.00,http://akimage.vinsolutions.com/trade/10000/1361.jpg?interpolation=progressive-bilinear&resize=640px:*
161546,2006,Land Rover,Range Rover Sport,28000.00,28000.00,http://akimage.vinsolutions.com/trade/10000/1362.jpg?interpolation=progressive-bilinear&resize=640px:*
161546,2006,Land Rover,Range Rover Sport,28000.00,28000.00,http://akimage.vinsolutions.com/trade/10000/1363.jpg?interpolation=progressive-bilinear&resize=640px:*
161546,2006,Land Rover,Range Rover Sport,28000.00,28000.00,http://akimage.vinsolutions.com/trade/10000/1364.jpg?interpolation=progressive-bilinear&resize=640px:*
161546,2006,Land Rover,Range Rover Sport,28000.00,28000.00,http://akimage.vinsolutions.com/trade/10000/1365.jpg?interpolation=progressive-bilinear&resize=640px:*
161546,2006,Land Rover,Range Rover Sport,28000.00,28000.00,http://akimage.vinsolutions.com/trade/10000/1366.jpg?interpolation=progressive-bilinear&resize=640px:*
161546,2006,Land Rover,Range Rover Sport,28000.00,28000.00,http://akimage.vinsolutions.com/trade/10000/1367.jpg?interpolation=progressive-bilinear&resize=640px:*
188487,1999,Chevrolet,C3500 HD Chassis,9650.00,9650.00,http://akimage.vinsolutions.com/trade/10000/1734.jpg?interpolation=progressive-bilinear&resize=640px:*
188487,1999,Chevrolet,C3500 HD Chassis,9650.00,9650.00,http://akimage.vinsolutions.com/trade/10000/1735.jpg?interpolation=progressive-bilinear&resize=640px:*
188487,1999,Chevrolet,C3500 HD Chassis,9650.00,9650.00,http://akimage.vinsolutions.com/trade/10000/1736.jpg?interpolation=progressive-bilinear&resize=640px:*
188487,1999,Chevrolet,C3500 HD Chassis,9650.00,9650.00,http://akimage.vinsolutions.com/trade/10000/1737.jpg?interpolation=progressive-bilinear&resize=640px:*
188487,1999,Chevrolet,C3500 HD Chassis,9650.00,9650.00,http://akimage.vinsolutions.com/trade/10000/1738.jpg?interpolation=progressive-bilinear&resize=640px:*
188487,1999,Chevrolet,C3500 HD Chassis,9650.00,9650.00,http://akimage.vinsolutions.com/trade/10000/1739.jpg?interpolation=progressive-bilinear&resize=640px:*
188487,1999,Chevrolet,C3500 HD Chassis,9650.00,9650.00,http://akimage.vinsolutions.com/trade/10000/1740.jpg?interpolation=progressive-bilinear&resize=640px:*
192358,2005,Ford,F-350,13500.00,13500.00,http://akimage.vinsolutions.com/trade/10000/1741.jpg?interpolation=progressive-bilinear&resize=640px:*
192358,2005,Ford,F-350,13500.00,13500.00,http://akimage.vinsolutions.com/trade/10000/1742.jpg?interpolation=progressive-bilinear&resize=640px:*
192358,2005,Ford,F-350,13500.00,13500.00,http://akimage.vinsolutions.com/trade/10000/1743.jpg?interpolation=progressive-bilinear&resize=640px:*
192358,2005,Ford,F-350,13500.00,13500.00,http://akimage.vinsolutions.com/trade/10000/1744.jpg?interpolation=progressive-bilinear&resize=640px:*
192358,2005,Ford,F-350,13500.00,13500.00,http://akimage.vinsolutions.com/trade/10000/1745.jpg?interpolation=progressive-bilinear&resize=640px:*
192358,2005,Ford,F-350,13500.00,13500.00,http://akimage.vinsolutions.com/trade/10000/1746.jpg?interpolation=progressive-bilinear&resize=640px:*
192358,2005,Ford,F-350,13500.00,13500.00,http://akimage.vinsolutions.com/trade/10000/1747.jpg?interpolation=progressive-bilinear&resize=640px:*
192358,2005,Ford,F-350,13500.00,13500.00,http://akimage.vinsolutions.com/trade/10000/1748.jpg?interpolation=progressive-bilinear&resize=640px:*
192358,2005,Ford,F-350,13500.00,13500.00,http://akimage.vinsolutions.com/trade/10000/1749.jpg?interpolation=progressive-bilinear&resize=640px:*
202935,2003,Chevrolet,C7500,3500.00,3500.00,http://akimage.vinsolutions.com/trade/10000/1762.jpg?interpolation=progressive-bilinear&resize=640px:*
202935,2003,Chevrolet,C7500,3500.00,3500.00,http://akimage.vinsolutions.com/trade/10000/1763.jpg?interpolation=progressive-bilinear&resize=640px:*
202935,2003,Chevrolet,C7500,3500.00,3500.00,http://akimage.vinsolutions.com/trade/10000/1764.jpg?interpolation=progressive-bilinear&resize=640px:*
202935,2003,Chevrolet,C7500,3500.00,3500.00,http://akimage.vinsolutions.com/trade/10000/1765.jpg?interpolation=progressive-bilinear&resize=640px:*
202935,2003,Chevrolet,C7500,3500.00,3500.00,http://akimage.vinsolutions.com/trade/10000/1766.jpg?interpolation=progressive-bilinear&resize=640px:*
202935,2003,Chevrolet,C7500,3500.00,3500.00,http://akimage.vinsolutions.com/trade/10000/1767.jpg?interpolation=progressive-bilinear&resize=640px:*
202935,2003,Chevrolet,C7500,3500.00,3500.00,http://akimage.vinsolutions.com/trade/10000/1768.jpg?interpolation=progressive-bilinear&resize=640px:*
202935,2003,Chevrolet,C7500,3500.00,3500.00,http://akimage.vinsolutions.com/trade/10000/1769.jpg?interpolation=progressive-bilinear&resize=640px:*
202935,2003,Chevrolet,C7500,3500.00,3500.00,http://akimage.vinsolutions.com/trade/10000/1770.jpg?interpolation=progressive-bilinear&resize=640px:*
202935,2003,Chevrolet,C7500,3500.00,3500.00,http://akimage.vinsolutions.com/trade/10000/1771.jpg?interpolation=progressive-bilinear&resize=640px:*
202935,2003,Chevrolet,C7500,3500.00,3500.00,http://akimage.vinsolutions.com/trade/10000/1772.jpg?interpolation=progressive-bilinear&resize=640px:*
204497,2001,Chevrolet,Express,1500.00,1500.00,http://akimage.vinsolutions.com/trade/10000/1773.jpg?interpolation=progressive-bilinear&resize=640px:*
204497,2001,Chevrolet,Express,1500.00,1500.00,http://akimage.vinsolutions.com/trade/10000/1774.jpg?interpolation=progressive-bilinear&resize=640px:*
204497,2001,Chevrolet,Express,1500.00,1500.00,http://akimage.vinsolutions.com/trade/10000/1775.jpg?interpolation=progressive-bilinear&resize=640px:*
204497,2001,Chevrolet,Express,1500.00,1500.00,http://akimage.vinsolutions.com/trade/10000/1776.jpg?interpolation=progressive-bilinear&resize=640px:*
204497,2001,Chevrolet,Express,1500.00,1500.00,http://akimage.vinsolutions.com/trade/10000/1777.jpg?interpolation=progressive-bilinear&resize=640px:*
204497,2001,Chevrolet,Express,1500.00,1500.00,http://akimage.vinsolutions.com/trade/10000/1778.jpg?interpolation=progressive-bilinear&resize=640px:*
204497,2001,Chevrolet,Express,1500.00,1500.00,http://akimage.vinsolutions.com/trade/10000/1779.jpg?interpolation=progressive-bilinear&resize=640px:*
204607,2004,Ford,F-650,20000.00,20000.00,http://akimage.vinsolutions.com/trade/10000/1780.jpg?interpolation=progressive-bilinear&resize=640px:*
204607,2004,Ford,F-650,20000.00,20000.00,http://akimage.vinsolutions.com/trade/10000/1781.jpg?interpolation=progressive-bilinear&resize=640px:*
204607,2004,Ford,F-650,20000.00,20000.00,http://akimage.vinsolutions.com/trade/10000/1782.jpg?interpolation=progressive-bilinear&resize=640px:*
204607,2004,Ford,F-650,20000.00,20000.00,http://akimage.vinsolutions.com/trade/10000/1783.jpg?interpolation=progressive-bilinear&resize=640px:*
204607,2004,Ford,F-650,20000.00,20000.00,http://akimage.vinsolutions.com/trade/10000/1784.jpg?interpolation=progressive-bilinear&resize=640px:*
